hour,irradiance_wm2,temperature_c
321,29.4,4.9
322,36.2,5.7
323,40.5,6.2
324,42.1,6.3
325,40.8,6.2
326,36.7,5.7
327,30.1,4.9
328,21.3,3.9
329,11.1,2.7
330,0.0,1.4
331,0.0,1.4
332,0.0,1.4
333,0.0,1.4
334,0.0,1.4
335,0.0,1.4
336,0.0,1.4
337,0.0,1.4
338,0.0,1.4
339,0.0,1.4
340,0.0,1.4
341,0.0,1.4
342,0.0,1.4
343,11.6,2.7
344,22.5,3.9
345,31.9,5.0
346,39.2,5.8
347,43.9,6.3
348,45.6,6.4
349,44.2,6.3
350,39.7,5.8
351,32.6,5.0
352,23.1,4.0
353,12.0,2.8
354,0.0,1.5
355,0.0,1.5
356,0.0,1.5
357,0.0,1.5
358,0.0,1.5
359,0.0,1.5
360,0.0,1.5
361,0.0,1.5
362,0.0,1.5
363,0.0,1.5
364,0.0,1.5
365,0.0,1.5
366,0.0,1.5
367,12.5,2.8
368,24.3,4.0
369,34.5,5.1
370,42.4,5.9
371,47.4,6.4
372,49.2,6.6
373,47.7,6.4
374,42.9,5.9
375,35.2,5.1
376,24.9,4.1
377,12.9,2.9
378,0.0,1.6
379,0.0,1.6
380,0.0,1.6
381,0.0,1.6
382,0.0,1.6
383,0.0,1.6
384,0.0,1.6
385,0.0,1.6
386,0.0,1.6
387,0.0,1.6
388,0.0,1.6
389,0.0,1.6
390,0.0,1.6
391,13.5,2.9
392,26.2,4.2
393,37.2,5.2
394,45.7,6.0
395,51.1,6.5
396,53.0,6.7
397,51.4,6.5
398,46.2,6.0
399,37.8,5.2
400,26.8,4.2
401,13.9,3.0
402,0.0,1.7
403,0.0,1.7
404,0.0,1.7
405,0.0,1.7
406,0.0,1.7
407,0.0,1.7
408,0.0,1.7
409,0.0,1.7
410,0.0,1.7
411,0.0,1.8
412,0.0,1.8
413,0.0,1.8
414,0.0,1.8
415,14.5,3.1
416,28.2,4.3
417,39.9,5.3
418,49.0,6.1
419,54.9,6.6
420,57.0,6.8
421,55.2,6.6
422,49.6,6.1
423,40.6,5.4
424,28.8,4.3
425,15.0,3.1
426,0.0,1.8
427,0.0,1.8
428,0.0,1.8
429,0.0,1.8
430,0.0,1.9
431,0.0,1.9
432,0.0,1.9
433,0.0,1.9
434,0.0,1.9
435,0.0,1.9
436,0.0,1.9
437,0.0,1.9
438,0.0,1.9
439,15.6,3.2
440,30.2,4.4
441,42.8,5.4
442,52.5,6.2
443,58.8,6.7
444,61.0,6.9
445,59.1,6.8
446,53.1,6.3
447,43.5,5.5
448,30.9,4.4
449,16.0,3.2
450,0.0,2.0
451,0.0,2.0
452,0.0,2.0
453,0.0,2.0
454,0.0,2.0
455,0.0,2.0
456,0.0,2.0
457,0.0,2.0
458,0.0,2.0
459,0.0,2.0
460,0.0,2.0
461,0.0,2.0
462,0.0,2.0
463,16.6,3.3
464,32.2,4.5
465,45.7,5.6
466,56.2,6.4
467,62.8,6.9
468,65.2,7.1
469,63.2,6.9
470,56.8,6.4
471,46.5,5.6
472,33.0,4.6
473,17.1,3.4
474,0.0,2.1
475,0.0,2.1
476,0.0,2.1
477,0.0,2.1
478,0.0,2.1
479,0.0,2.1
480,0.0,2.1
481,0.0,2.1
482,0.0,2.1
483,0.0,2.1
484,0.0,2.1
485,0.0,2.1
486,0.0,2.2
487,17.8,3.5
488,34.4,4.7
489,48.8,5.7
490,59.9,6.5
491,67.0,7.0
492,69.5,7.2
493,67.3,7.0
494,60.5,6.5
495,49.5,5.7
496,35.1,4.7
497,18.2,3.5
498,0.0,2.2
499,0.0,2.2
500,0.0,2.2
501,0.0,2.2
502,0.0,2.2
503,0.0,2.2
504,0.0,2.3
505,0.0,2.3
506,0.0,2.3
507,0.0,2.3
508,0.0,2.3
509,0.0,2.3
510,0.0,2.3
511,18.9,3.6
512,36.6,4.8
513,51.9,5.8
514,63.7,6.6
515,71.3,7.1
516,74.0,7.3
517,71.6,7.2
518,64.4,6.7
519,52.7,5.9
520,37.4,4.8
521,19.4,3.6
522,0.0,2.4
523,0.0,2.4
524,0.0,2.4
525,0.0,2.4
526,0.0,2.4
527,0.0,2.4
528,0.0,2.4
529,0.0,2.4
530,0.0,2.4
531,0.0,2.4
532,0.0,2.4
533,0.0,2.4
534,0.0,2.4
535,20.1,3.7
536,38.9,4.9
537,55.1,6.0
538,67.7,6.8
539,75.7,7.3
540,78.5,7.5
541,76.0,7.3
542,68.3,6.8
543,55.9,6.0
544,39.7,5.0
545,20.6,3.8
546,0.0,2.5
547,0.0,2.5
548,0.0,2.5
549,0.0,2.5
550,0.0,2.5
551,0.0,2.5
552,0.0,2.5
553,0.0,2.5
554,0.0,2.5
555,0.0,2.6
556,0.0,2.6
557,0.0,2.6
558,0.0,2.6
559,21.3,3.9
560,41.2,5.1
561,58.4,6.1
562,71.7,6.9
563,80.2,7.4
564,83.2,7.6
565,80.6,7.4
566,72.4,6.9
567,59.3,6.2
568,42.0,5.1
569,21.8,3.9
570,0.0,2.6
571,0.0,2.6
572,0.0,2.7
573,0.0,2.7
574,0.0,2.7
575,0.0,2.7
576,0.0,2.7
577,0.0,2.7
578,0.0,2.7
579,0.0,2.7
580,0.0,2.7
581,0.0,2.7
582,0.0,2.7
583,22.5,4.0
584,43.6,5.2
585,61.8,6.3
586,75.9,7.1
587,84.8,7.6
588,88.0,7.8
589,85.2,7.6
590,76.6,7.1
591,62.7,6.3
592,44.4,5.3
593,23.0,4.1
594,0.0,2.8
595,0.0,2.8
596,0.0,2.8
597,0.0,2.8
598,0.0,2.8
599,0.0,2.8
600,0.0,2.8
601,0.0,2.8
602,0.0,2.8
603,0.0,2.8
604,0.0,2.9
605,0.0,2.9
606,0.0,2.9
607,23.8,4.2
608,46.1,5.4
609,65.3,6.4
610,80.2,7.2
611,89.6,7.7
612,93.0,7.9
613,90.0,7.7
614,80.9,7.2
615,66.2,6.5
616,46.9,5.4
617,24.3,4.2
618,0.0,2.9
619,0.0,2.9
620,0.0,3.0
621,0.0,3.0
622,0.0,3.0
623,0.0,3.0
624,0.0,3.0
625,0.0,3.0
626,0.0,3.0
627,0.0,3.0
628,0.0,3.0
629,0.0,3.0
630,0.0,3.0
631,25.1,4.3
632,48.6,5.5
633,68.9,6.6
634,84.5,7.4
635,94.5,7.9
636,98.0,8.1
637,94.9,7.9
638,85.3,7.4
639,69.8,6.6
640,49.4,5.6
641,25.7,4.4
642,0.0,3.1
643,0.0,3.1
644,0.0,3.1
645,0.0,3.1
646,0.0,3.1
647,0.0,3.1
648,0.0,3.1
649,0.0,3.1
650,0.0,3.1
651,0.0,3.2
652,0.0,3.2
653,0.0,3.2
654,0.0,3.2
655,26.4,4.5
656,51.2,5.7
657,72.5,6.7
658,89.0,7.5
659,99.5,8.0
660,103.2,8.2
661,99.9,8.1
662,89.8,7.6
663,73.4,6.8
664,52.0,5.7
665,27.0,4.5
666,0.0,3.3
667,0.0,3.3
668,0.0,3.3
669,0.0,3.3
670,0.0,3.3
671,0.0,3.3
672,0.0,3.3
673,0.0,3.3
674,0.0,3.3
675,0.0,3.3
676,0.0,3.3
677,0.0,3.3
678,0.0,3.3
679,27.8,4.6
680,53.8,5.8
681,76.3,6.9
682,93.6,7.7
683,104.6,8.2
684,108.5,8.4
685,105.0,8.2
686,94.4,7.7
687,77.2,6.9
688,54.7,5.9
689,28.4,4.7
690,0.0,3.4
691,0.0,3.4
692,0.0,3.4
693,0.0,3.4
694,0.0,3.4
695,0.0,3.5
696,0.0,3.5
697,0.0,3.5
698,0.0,3.5
699,0.0,3.5
700,0.0,3.5
701,0.0,3.5
702,0.0,3.5
703,29.2,4.8
704,56.5,6.0
705,80.1,7.1
706,98.3,7.9
707,109.8,8.4
708,113.9,8.5
709,110.3,8.4
710,99.1,7.9
711,81.0,7.1
712,57.4,6.1
713,29.8,4.9
714,0.0,3.6
715,0.0,3.6
716,0.0,3.6
717,0.0,3.6
718,0.0,3.6
719,0.0,3.6
720,0.0,3.6
721,0.0,3.6
722,0.0,3.6
723,0.0,3.6
724,0.0,3.7
725,0.0,3.7
726,0.0,3.7
727,30.6,5.0
728,59.3,6.2
729,84.0,7.2
730,103.0,8.0
731,115.2,8.5
732,119.4,8.7
733,115.6,8.5
734,103.8,8.1
735,85.0,7.3
736,60.2,6.2
737,31.2,5.0
738,0.0,3.8
739,0.0,3.8
740,0.0,3.8
741,0.0,3.8
742,0.0,3.8
743,0.0,3.8
744,0.0,3.8
745,0.0,3.8
746,0.0,3.8
747,0.0,3.8
748,0.0,3.8
749,0.0,3.8
750,0.0,3.8
751,32.1,5.1
752,62.1,6.4
753,87.9,7.4
754,107.9,8.2
755,120.6,8.7
756,125.1,8.9
757,121.1,8.7
758,108.7,8.2
759,89.0,7.4
760,63.0,6.4
761,32.7,5.2
762,0.0,3.9
763,0.0,3.9
764,0.0,3.9
765,0.0,3.9
766,0.0,4.0
767,0.0,4.0
768,0.0,4.0
769,0.0,4.0
770,0.0,4.0
771,0.0,4.0
772,0.0,4.0
773,0.0,4.0
774,0.0,4.0
775,33.6,5.3
776,64.9,6.5
777,92.0,7.6
778,112.9,8.4
779,126.1,8.9
780,130.8,9.1
781,126.6,8.9
782,113.7,8.4
783,93.0,7.6
784,65.9,6.6
785,34.2,5.4
786,0.0,4.1
787,0.0,4.1
788,0.0,4.1
789,0.0,4.1
790,0.0,4.1
791,0.0,4.1
792,0.0,4.1
793,0.0,4.2
794,0.0,4.2
795,0.0,4.2
796,0.0,4.2
797,0.0,4.2
798,0.0,4.2
799,35.1,5.5
800,67.9,6.7
801,96.1,7.7
802,118.0,8.5
803,131.8,9.1
804,136.7,9.2
805,132.3,9.1
806,118.8,8.6
807,97.2,7.8
808,68.8,6.8
809,35.7,5.6
810,0.0,4.3
811,0.0,4.3
812,0.0,4.3
813,0.0,4.3
814,0.0,4.3
815,0.0,4.3
816,0.0,4.3
817,0.0,4.3
818,0.0,4.3
819,0.0,4.3
820,0.0,4.4
821,0.0,4.4
822,0.0,4.4
823,36.6,5.7
824,70.8,6.9
825,100.3,7.9
826,123.1,8.7
827,137.6,9.2
828,142.7,9.4
829,138.0,9.3
830,124.0,8.8
831,101.4,8.0
832,71.8,6.9
833,37.2,5.7
834,0.0,4.5
835,0.0,4.5
836,0.0,4.5
837,0.0,4.5
838,0.0,4.5
839,0.0,4.5
840,0.0,4.5
841,0.0,4.5
842,0.0,4.5
843,0.0,4.5
844,0.0,4.5
845,0.0,4.5
846,0.0,4.6
847,38.2,5.9
848,73.9,7.1
849,104.6,8.1
850,128.4,8.9
851,143.4,9.4
852,148.7,9.6
853,143.9,9.4
854,129.3,8.9
855,105.7,8.2
856,74.9,7.1
857,38.8,5.9
858,0.0,4.6
859,0.0,4.7
860,0.0,4.7
861,0.0,4.7
862,0.0,4.7
863,0.0,4.7
864,0.0,4.7
865,0.0,4.7
866,0.0,4.7
867,0.0,4.7
868,0.0,4.7
869,0.0,4.7
870,0.0,4.7
871,39.8,6.0
872,76.9,7.3
873,109.0,8.3
874,133.7,9.1
875,149.4,9.6
876,154.9,9.8
877,149.9,9.6
878,134.6,9.1
879,110.1,8.3
880,78.0,7.3
881,40.4,6.1
882,0.0,4.8
883,0.0,4.8
884,0.0,4.9
885,0.0,4.9
886,0.0,4.9
887,0.0,4.9
888,0.0,4.9
889,0.0,4.9
890,0.0,4.9
891,0.0,4.9
892,0.0,4.9
893,0.0,4.9
894,0.0,4.9
895,41.4,6.2
896,80.1,7.4
897,113.4,8.5
898,139.1,9.3
899,155.4,9.8
900,161.2,10.0
901,156.0,9.8
902,140.1,9.3
903,114.5,8.5
904,81.1,7.5
905,42.1,6.3
906,0.0,5.0
907,0.0,5.0
908,0.0,5.0
909,0.0,5.1
910,0.0,5.1
911,0.0,5.1
912,0.0,5.1
913,0.0,5.1
914,0.0,5.1
915,0.0,5.1
916,0.0,5.1
917,0.0,5.1
918,0.0,5.1
919,43.0,6.4
920,83.3,7.6
921,117.9,8.7
922,144.7,9.5
923,161.6,10.0
924,167.6,10.2
925,162.1,10.0
926,145.6,9.5
927,119.1,8.7
928,84.3,7.7
929,43.7,6.5
930,0.0,5.2
931,0.0,5.2
932,0.0,5.2
933,0.0,5.2
934,0.0,5.3
935,0.0,5.3
936,0.0,5.3
937,0.0,5.3
938,0.0,5.3
939,0.0,5.3
940,0.0,5.3
941,0.0,5.3
942,0.0,5.3
943,44.7,6.6
944,86.5,7.8
945,122.5,8.9
946,150.3,9.7
947,167.9,10.2
948,174.1,10.4
949,168.4,10.2
950,151.2,9.7
951,123.6,8.9
952,87.6,7.9
953,45.4,6.7
954,0.0,5.4
955,0.0,5.4
956,0.0,5.4
957,0.0,5.4
958,0.0,5.5
959,0.0,5.5
960,0.0,5.5
961,0.0,5.5
962,0.0,5.5
963,0.0,5.5
964,0.0,5.5
965,0.0,5.5
966,0.0,5.5
967,46.4,6.8
968,89.8,8.0
969,127.1,9.1
970,155.9,9.9
971,174.2,10.4
972,180.6,10.6
973,174.7,10.4
974,156.9,9.9
975,128.3,9.1
976,90.9,8.1
977,47.1,6.9
978,0.0,5.6
979,0.0,5.6
980,0.0,5.6
981,0.0,5.6
982,0.0,5.7
983,0.0,5.7
984,0.0,5.7
985,0.0,5.7
986,0.0,5.7
987,0.0,5.7
988,0.0,5.7
989,0.0,5.7
990,0.0,5.7
991,48.1,7.0
992,93.1,8.2
993,131.8,9.3
994,161.7,10.1
995,180.6,10.6
996,187.3,10.8
997,181.2,10.6
998,162.7,10.1
999,133.0,9.3
1000,94.2,8.3
1001,48.8,7.1
1002,0.0,5.8
1003,0.0,5.8
1004,0.0,5.8
1005,0.0,5.8
1006,0.0,5.9
1007,0.0,5.9
1008,0.0,5.9
1009,0.0,5.9
1010,0.0,5.9
1011,0.0,5.9
1012,0.0,5.9
1013,0.0,5.9
1014,0.0,5.9
1015,49.9,7.2
1016,96.5,8.4
1017,136.6,9.5
1018,167.6,10.3
1019,187.2,10.8
1020,194.1,11.0
1021,187.7,10.8
1022,168.5,10.3
1023,137.8,9.5
1024,97.6,8.5
1025,50.6,7.3
1026,0.0,6.0
1027,0.0,6.0
1028,0.0,6.0
1029,0.0,6.1
1030,0.0,6.1
1031,0.0,6.1
1032,0.0,6.1
1033,0.0,6.1
1034,0.0,6.1
1035,0.0,6.1
1036,0.0,6.1
1037,0.0,6.1
1038,0.0,6.1
1039,51.6,7.4
1040,99.9,8.6
1041,141.5,9.7
1042,173.5,10.5
1043,193.8,11.0
1044,200.9,11.2
1045,194.3,11.0
1046,174.5,10.5
1047,142.7,9.7
1048,101.0,8.7
1049,52.4,7.5
1050,0.0,6.2
1051,0.0,6.2
1052,0.0,6.3
1053,0.0,6.3
1054,0.0,6.3
1055,0.0,6.3
1056,0.0,6.3
1057,0.0,6.3
1058,0.0,6.3
1059,0.0,6.3
1060,0.0,6.3
1061,0.0,6.3
1062,0.0,6.3
1063,53.4,7.6
1064,103.3,8.9
1065,146.4,9.9
1066,179.5,10.7
1067,200.5,11.2
1068,207.9,11.4
1069,201.0,11.2
1070,180.5,10.7
1071,147.6,10.0
1072,104.5,8.9
1073,54.2,7.7
1074,0.0,6.4
1075,0.0,6.5
1076,0.0,6.5
1077,0.0,6.5
1078,0.0,6.5
1079,0.0,6.5
1080,0.0,6.5
1081,0.0,6.5
1082,0.0,6.5
1083,0.0,6.5
1084,0.0,6.5
1085,0.0,6.5
1086,0.0,6.6
1087,55.2,7.9
1088,106.9,9.1
1089,151.3,10.1
1090,185.6,10.9
1091,207.3,11.4
1092,214.9,11.6
1093,207.8,11.4
1094,186.6,11.0
1095,152.6,10.2
1096,108.0,9.1
1097,56.0,7.9
1098,0.0,6.7
1099,0.0,6.7
1100,0.0,6.7
1101,0.0,6.7
1102,0.0,6.7
1103,0.0,6.7
1104,0.0,6.7
1105,0.0,6.7
1106,0.0,6.7
1107,0.0,6.7
1108,0.0,6.7
1109,0.0,6.8
1110,0.0,6.8
1111,57.1,8.1
1112,110.4,9.3
1113,156.3,10.3
1114,191.7,11.1
1115,214.1,11.6
1116,222.0,11.8
1117,214.7,11.7
1118,192.8,11.2
1119,157.6,10.4
1120,111.6,9.4
1121,57.8,8.2
1122,0.0,6.9
1123,0.0,6.9
1124,0.0,6.9
1125,0.0,6.9
1126,0.0,6.9
1127,0.0,6.9
1128,0.0,6.9
1129,0.0,6.9
1130,0.0,6.9
1131,0.0,7.0
1132,0.0,7.0
1133,0.0,7.0
1134,0.0,7.0
1135,58.9,8.3
1136,114.0,9.5
1137,161.4,10.5
1138,198.0,11.4
1139,221.1,11.9
1140,229.2,12.0
1141,221.7,11.9
1142,199.0,11.4
1143,162.7,10.6
1144,115.2,9.6
1145,59.7,8.4
1146,0.0,7.1
1147,0.0,7.1
1148,0.0,7.1
1149,0.0,7.1
1150,0.0,7.1
1151,0.0,7.1
1152,0.0,7.1
1153,0.0,7.2
1154,0.0,7.2
1155,0.0,7.2
1156,0.0,7.2
1157,0.0,7.2
1158,0.0,7.2
1159,60.8,8.5
1160,117.6,9.7
1161,166.6,10.8
1162,204.3,11.6
1163,228.1,12.1
1164,236.5,12.3
1165,228.7,12.1
1166,205.3,11.6
1167,167.9,10.8
1168,118.8,9.8
1169,61.6,8.6
1170,0.0,7.3
1171,0.0,7.3
1172,0.0,7.3
1173,0.0,7.3
1174,0.0,7.4
1175,0.0,7.4
1176,0.0,7.4
1177,0.0,7.4
1178,0.0,7.4
1179,0.0,7.4
1180,0.0,7.4
1181,0.0,7.4
1182,0.0,7.4
1183,62.7,8.7
1184,121.3,9.9
1185,171.7,11.0
1186,210.6,11.8
1187,235.2,12.3
1188,243.8,12.5
1189,235.8,12.3
1190,211.7,11.8
1191,173.1,11.0
1192,122.5,10.0
1193,63.5,8.8
1194,0.0,7.5
1195,0.0,7.5
1196,0.0,7.6
1197,0.0,7.6
1198,0.0,7.6
1199,0.0,7.6
1200,0.0,7.6
1201,0.0,7.6
1202,0.0,7.6
1203,0.0,7.6
1204,0.0,7.6
1205,0.0,7.6
1206,0.0,7.6
1207,64.6,9.0
1208,125.0,10.2
1209,177.0,11.2
1210,217.0,12.0
1211,242.4,12.5
1212,251.2,12.7
1213,243.0,12.5
1214,218.1,12.1
1215,178.3,11.3
1216,126.2,10.2
1217,65.4,9.0
1218,0.0,7.8
1219,0.0,7.8
1220,0.0,7.8
1221,0.0,7.8
1222,0.0,7.8
1223,0.0,7.8
1224,0.0,7.8
1225,0.0,7.8
1226,0.0,7.8
1227,0.0,7.8
1228,0.0,7.9
1229,0.0,7.9
1230,0.0,7.9
1231,66.6,9.2
1232,128.7,10.4
1233,182.3,11.4
1234,223.5,12.2
1235,249.6,12.8
1236,258.7,12.9
1237,250.2,12.8
1238,224.6,12.3
1239,183.6,11.5
1240,130.0,10.5
1241,67.4,9.3
1242,0.0,8.0
1243,0.0,8.0
1244,0.0,8.0
1245,0.0,8.0
1246,0.0,8.0
1247,0.0,8.0
1248,0.0,8.0
1249,0.0,8.1
1250,0.0,8.1
1251,0.0,8.1
1252,0.0,8.1
1253,0.0,8.1
1254,0.0,8.1
1255,68.5,9.4
1256,132.5,10.6
1257,187.6,11.7
1258,230.1,12.5
1259,256.9,13.0
1260,266.3,13.2
1261,257.6,13.0
1262,231.2,12.5
1263,189.0,11.7
1264,133.8,10.7
1265,69.3,9.5
1266,0.0,8.2
1267,0.0,8.2
1268,0.0,8.2
1269,0.0,8.2
1270,0.0,8.3
1271,0.0,8.3
1272,0.0,8.3
1273,0.0,8.3
1274,0.0,8.3
1275,0.0,8.3
1276,0.0,8.3
1277,0.0,8.3
1278,0.0,8.3
1279,70.5,9.6
1280,136.3,10.9
1281,193.0,11.9
1282,236.7,12.7
1283,264.3,13.2
1284,274.0,13.4
1285,264.9,13.2
1286,237.8,12.7
1287,194.4,12.0
1288,137.6,10.9
1289,71.3,9.7
1290,0.0,8.5
1291,0.0,8.5
1292,0.0,8.5
1293,0.0,8.5
1294,0.0,8.5
1295,0.0,8.5
1296,0.0,8.5
1297,0.0,8.5
1298,0.0,8.5
1299,0.0,8.5
1300,0.0,8.5
1301,0.0,8.6
1302,0.0,8.6
1303,72.5,9.9
1304,140.2,11.1
1305,198.5,12.1
1306,243.4,12.9
1307,271.8,13.4
1308,281.7,13.6
1309,272.4,13.5
1310,244.5,13.0
1311,199.9,12.2
1312,141.5,11.2
1313,73.3,10.0
1314,0.0,8.7
1315,0.0,8.7
1316,0.0,8.7
1317,0.0,8.7
1318,0.0,8.7
1319,0.0,8.7
1320,0.0,8.7
1321,0.0,8.8
1322,0.0,8.8
1323,0.0,8.8
1324,0.0,8.8
1325,0.0,8.8
1326,0.0,8.8
1327,74.5,10.1
1328,144.1,11.3
1329,204.0,12.4
1330,250.1,13.2
1331,279.3,13.7
1332,289.4,13.9
1333,279.9,13.7
1334,251.2,13.2
1335,205.4,12.4
1336,145.4,11.4
1337,75.3,10.2
1338,0.0,8.9
1339,0.0,8.9
1340,0.0,8.9
1341,0.0,8.9
1342,0.0,9.0
1343,0.0,9.0
1344,0.0,9.0
1345,0.0,9.0
1346,0.0,9.0
1347,0.0,9.0
1348,0.0,9.0
1349,0.0,9.0
1350,0.0,9.0
1351,76.5,10.3
1352,148.0,11.6
1353,209.5,12.6
1354,256.9,13.4
1355,286.8,13.9
1356,297.3,14.1
1357,287.5,13.9
1358,258.0,13.4
1359,210.9,12.7
